Date,Price,DXY,DFII10,VIX,CPI,Sentiment_Score,Exponential_Weighted_Score,EMA30,EMA252,RSI,Band_Spread
2005-01-14,422.5,83.05999755859375,1.72,12.43000030517578,190.3,-0.13658877,0.2300262096964928,422.63468438580475,422.63468438580475,20.754716981132106,33.83573321369977
2005-01-17,422.3,83.05999755859375,1.72,12.43000030517578,190.3,0.0,0.0378731354695418,422.3334684385805,422.3334684385805,20.62500000000003,33.64415019150647
2005-01-18,421.8,83.36000061035156,1.71,12.470000267028809,190.3,0.22509721,0.2617287164018769,421.85334684385805,421.85334684385805,20.820189274447984,33.468281920950176
2005-01-19,425.0,83.5999984741211,1.7,13.18000030517578,190.3,0.0778022,0.3309504284623842,424.6853346843858,424.6853346843858,32.4503311258278,32.3026412477725
2005-01-20,422.9,83.83999633789062,1.7,13.829999923706056,190.3,-0.4750125,-0.1549119171297636,423.0785334684386,423.0785334684386,30.34055727554177,30.995137139866188
2005-01-21,423.3,83.26000213623047,1.69,14.359999656677246,190.3,-0.097008884,-0.2468421844044416,423.27785334684387,423.27785334684387,31.192660550458754,29.099459210079658
2005-01-24,427.4,83.23999786376953,1.68,14.649999618530272,190.3,-0.6141725,-0.8854614448440553,426.9877853346844,426.9877853346844,49.31034482758615,26.336798350819095
2005-01-25,424.5,83.98999786376953,1.74,14.0600004196167,190.3,-0.21858835,-1.0750209158092296,424.74877853346845,424.74877853346845,47.50830564784053,22.96556690267323
2005-01-26,425.8,83.30000305175781,1.72,13.4399995803833,190.3,0.2960527,-0.7437248381255981,425.69487785334684,425.69487785334684,52.34899328859065,18.89818704763661
2005-01-27,424.5,83.43000030517578,1.72,13.239999771118164,190.3,-0.48875472,-1.2461752659578875,424.6194877853347,424.6194877853347,53.97923875432527,16.45940460658403
2005-01-28,426.8,83.4800033569336,1.65,13.239999771118164,190.3,0.0,-1.2053207812569149,426.58194877853344,426.58194877853344,61.724137931034484,13.346617943492106
2005-01-31,422.2,83.5999984741211,1.65,12.81999969482422,190.3,0.0,-1.0906193436175924,422.6381948778533,422.6381948778533,51.24223602484473,8.731310868185687
2005-02-01,420.9,83.44999694824219,1.67,12.029999732971191,191.8,-0.47226274,-1.5271273286440523,421.07381948778533,421.07381948778533,39.92932862190808,8.41099531021564
2005-02-02,421.6,83.5199966430664,1.7,11.65999984741211,191.8,-0.46996713,-1.9470292697506035,421.5473819487786,421.5473819487786,46.15384615384617,8.32019736627251
